Ranking,Name,URL,Rating,Price Range,Review Count,Nearest Station,Categories,Address,Reservation Only
101,Niku Kappou Jou,https://tabelog.com/en/tokyo/A1307/A130701/13209614/,4.22,20000-29999,562,Nogizaka Sta.,Beef dishes,東京都港区西麻布2-24-14 バルビゾン73 B1F,False
102,malca,https://tabelog.com/en/tokyo/A1306/A130603/13277748/,4.22,20000-29999,349,Gaiemmae Sta.,Italian,東京都港区南青山2-27-16 篠塚ビル B1F,False
103,Ikewanagi no Mise Tsugumi An,https://tabelog.com/en/tokyo/A1323/A132301/13080463/,4.22,15000-19999,205,Komagome Sta.,Unagi (Eel),東京都北区中里1-29-1,True
104,PRISMA,https://tabelog.com/en/tokyo/A1306/A130602/13123890/,4.22,40000-49999,198,Omote Sando Sta.,Italian,東京都港区南青山6-4-6 青山ＡＬＬＥＹ 1F,False
105,Sushi Meino,https://tabelog.com/en/tokyo/A1307/A130702/13292357/,4.22,50000-59999,87,Azabu Juban Sta.,Sushi,東京都港区麻布十番1-6-1 THE V-CITY 麻布十番 PLACE 6F,True
106,Yoroniku,https://tabelog.com/en/tokyo/A1306/A130602/13042979/,4.21,10000-14999,2671,Omote Sando Sta.,Yakiniku (BBQ Beef),東京都港区南青山6-6-22 ルナロッサ　Ｂ１Ｆ,False
107,Mikawa Zezankyo,https://tabelog.com/en/tokyo/A1313/A131303/13090866/,4.21,20000-29999,735,Monzen Nakacho Sta.,Tempura,東京都江東区福住1-3-1,True
108,Koho,https://tabelog.com/en/tokyo/A1307/A130701/13194122/,4.21,30000-39999,691,Roppongi Sta.,Chinese,東京都港区六本木3-8-7 PALビル 1F,True
109,Haramasa,https://tabelog.com/en/tokyo/A1309/A130903/13151542/,4.21,20000-29999,647,Yotsuya Sanchome Sta.,Japanese Cuisine,東京都新宿区四谷4-8 ライオンズ四谷タワーゲート店舗棟 B1F,False
110,Kitajima Tei,https://tabelog.com/en/tokyo/A1309/A130902/13000945/,4.21,20000-29999,559,Yotsuya Sta.,French,東京都新宿区四谷三栄町15-2 ＪＨＣビル 1F,False
111,Sushi Ikkou,https://tabelog.com/en/tokyo/A1301/A130101/13300481/,4.21,60000-79999,85,Higashi Ginza Sta.,Sushi,東京都中央区銀座5-11-12 日総第26ビル 3F,True
112,Kawamura,https://tabelog.com/en/tokyo/A1301/A130101/13016506/,4.20,100000-,201,,Steak,東京都中央区,True
113,subin,https://tabelog.com/en/tokyo/A1301/A130101/13287203/,4.20,40000-49999,88,Ginza Sta.,Shabu shabu (Japanese hotpot),東京都中央区銀座8-6-20 銀座八番館 B1F,False
114,Nabeno-Ism,https://tabelog.com/en/tokyo/A1311/A131102/13194700/,4.19,40000-49999,648,Asakusa Sta.,French,東京都台東区駒形2-1-17,True
115,Sushi Kimura,https://tabelog.com/en/tokyo/A1317/A131708/13026584/,4.19,30000-39999,480,Futako Tamagawa Sta.,Sushi,東京都世田谷区玉川3-21-8,True
116,Kurogi,https://tabelog.com/en/tokyo/A1314/A131401/13094789/,4.19,50000-59999,416,Daimon Sta.,Japanese Cuisine,東京都港区芝公園1-7-10,True
117,Higuchi,https://tabelog.com/en/tokyo/A1306/A130601/13001215/,4.19,40000-49999,189,Kita Sando Sta.,Japanese Cuisine,東京都渋谷区神宮前2-19-12,False
118,Aji Yuki,https://tabelog.com/en/tokyo/A1313/A131301/13277529/,4.18,30000-39999,72,Shintomicho Sta.,Japanese Cuisine,東京都中央区湊3-4-2 Vann Amor 1F,True
119,Ren Mishina,https://tabelog.com/en/tokyo/A1301/A130101/13221959/,4.17,30000-39999,205,Uchisaiwaicho Sta.,Japanese Cuisine,東京都中央区銀座7-3-13 ニューギンザビル B1F,False
120,Kaoru HIROO,https://tabelog.com/en/tokyo/A1307/A130703/13238442/,4.17,50000-59999,203,Hiro o Sta.,Innovative,東京都港区南麻布4-5-66 2F,True
121,Sushi Takamitsu,https://tabelog.com/en/tokyo/A1313/A131302/13280325/,4.17,80000-99999,57,Kachidoki Sta.,Houseboat and cruising,東京都中央区晴海3-1 晴海乗船場,True
122,L'ecrin,https://tabelog.com/en/tokyo/A1301/A130101/13002444/,4.16,20000-29999,932,Ginza Sta.,French,東京都中央区銀座4-5-5 ミキモトビル Ｂ１Ｆ,False
123,Suzuta Shiki,https://tabelog.com/en/tokyo/A1307/A130701/13293100/,4.16,60000-79999,252,Nogizaka Sta.,Japanese Cuisine,東京都港区西麻布1-9-5 2F,False
124,Takajo Kotobuki,https://tabelog.com/en/tokyo/A1311/A131102/13003661/,4.16,30000-39999,180,Asakusa Sta.,Chicken dishes,東京都台東区雷門2-14-6,False
125,sushi riku,https://tabelog.com/en/tokyo/A1307/A130703/13301089/,4.16,40000-49999,117,Hiro o Sta.,Sushi,東京都渋谷区広尾5-13-6 ARISTO広尾ビル 1F,True
126,Ryugin,https://tabelog.com/en/tokyo/A1301/A130102/13001457/,4.15,50000-59999,286,Hibiya Sta.,Japanese Cuisine,東京都千代田区有楽町1-1-2 ミッドタウン日比谷 7F,True
127,Tsushima,https://tabelog.com/en/tokyo/A1307/A130701/13245835/,4.15,60000-79999,255,Roppongi Sta.,Chinese,東京都港区元麻布3-2-3 けやき坂 NEST 1F,True
128,Kohaku,https://tabelog.com/en/tokyo/A1309/A130905/13296900/,4.15,60000-79999,117,Iidabashi Sta.,Japanese Cuisine,東京都新宿区神楽坂3-5-5,True
129,Takumi Shingo,https://tabelog.com/en/tokyo/A1306/A130603/13155925/,4.14,30000-39999,306,Aoyama Itchome Sta.,Sushi,東京都港区南青山2-2-15 ウィン青山 1F,True
130,Sushi Hashiguchi,https://tabelog.com/en/tokyo/A1308/A130801/13134517/,4.14,50000-59999,249,Akasaka Mitsuke Sta.,Sushi,東京都港区元赤坂1-5-20 ロイヤル赤坂サルーン1F,False
131,Sushi Yoshitake,https://tabelog.com/en/tokyo/A1301/A130101/13024076/,4.14,60000-79999,227,Shimbashi Sta.,Sushi,東京都中央区銀座7-8-13 Brown Place 9F,False
132,Isoda,https://tabelog.com/en/tokyo/A1302/A130204/13303109/,4.14,40000-49999,104,Ningyocho Sta.,Japanese Cuisine,東京都中央区日本橋人形町1-5-10 日本橋芸者新道ビル 3F,True
133,Restaurant Raffinage,https://tabelog.com/en/tokyo/A1301/A130101/13227264/,4.13,30000-39999,282,Higashi Ginza Sta.,French,東京都中央区銀座5-9-16 GINZA-A-5 2F,False
134,Restaurant La FinS,https://tabelog.com/en/tokyo/A1301/A130103/13139171/,4.13,60000-79999,239,Shimbashi Sta.,French,東京都港区新橋4-9-1 新橋プラザビル B1F,True
135,Kiyota Hanare,https://tabelog.com/en/tokyo/A1301/A130101/13256392/,4.13,100000-,41,Ginza Sta.,Sushi,東京都中央区銀座5-5-18 銀座藤小西 9F,True
136,Hommage,https://tabelog.com/en/tokyo/A1311/A131102/13008700/,4.12,20000-29999,708,Asakusa Sta.,French,東京都台東区浅草4-10-5,False
137,EdiTion Koji Shimomura,https://tabelog.com/en/tokyo/A1307/A130701/13042074/,4.11,20000-29999,657,Roppongi Itchome Sta.,French,東京都港区六本木3-1-1 六本木ティーキューブ1F,False
138,Akasaka Kitafuku,https://tabelog.com/en/tokyo/A1308/A130801/13149065/,4.11,40000-49999,371,Akasaka Sta.,Crab,東京都港区赤坂3-13-6 国際天野ビル 7F,False
139,Eiki,https://tabelog.com/en/tokyo/A1303/A130302/13230923/,4.11,10000-14999,353,Ebisu Sta.,Yakitori (Grilled chicken skewers),東京都渋谷区恵比寿2-10-5 ROZIS 1F,False
140,Akasaka Eigetsu,https://tabelog.com/en/tokyo/A1308/A130801/13116523/,4.11,20000-29999,342,Akasaka Mitsuke Sta.,Japanese Cuisine,東京都港区赤坂3-11-7 ソシアル赤坂ビル 4F,False
141,Sushi Saeki,https://tabelog.com/en/tokyo/A1301/A130101/13239506/,4.11,40000-49999,224,Ginza Sta.,Sushi,東京都中央区銀座6-3-18 La.La.Grande GINZA 2F,False
142,Hongshiki Ryori Koki,https://tabelog.com/en/tokyo/A1308/A130802/13274319/,4.11,20000-29999,119,Toranomon Hills Sta.,Chinese,東京都港区西新橋2-13-6 ミタニビル 1F,True
143,Minami Aoyama Nana Chome,https://tabelog.com/en/tokyo/A1307/A130703/13200559/,4.10,8000-9999,422,Hiro o Sta.,Yakitori (Grilled chicken skewers),東京都港区南青山7-13-13 フォレストビル B1F,True
144,shokudou aca,https://tabelog.com/en/tokyo/A1307/A130704/13296958/,4.10,20000-29999,172,Kamiyacho Sta.,Spain,東京都港区虎ノ門5-8-1 麻布台ヒルズ ガーデンプラザA 2F,True
145,Sumibi Yaki Yuji,https://tabelog.com/en/tokyo/A1303/A130301/13001794/,4.09,6000-7999,2007,Shibuya Sta.,Horumon (BBQ Offel),東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ,False
146,Japanese cuisine Kutan,https://tabelog.com/en/tokyo/A1313/A131301/13220750/,4.09,40000-49999,225,Shintomicho Sta.,Japanese Cuisine,東京都中央区新富2-5-5 新富MSビル 1F,True
147,Kappo Muroi,https://tabelog.com/en/tokyo/A1307/A130701/13286652/,4.09,50000-59999,96,Nogizaka Sta.,Japanese Cuisine,東京都港区西麻布2-16-4 第二吉山ビル 1F,False
148,SATO Brian Hon Ten,https://tabelog.com/en/tokyo/A1319/A131905/13127046/,4.08,15000-19999,1004,Asagaya Sta.,Yakiniku (BBQ Beef),東京都杉並区阿佐谷南3-44-2 新井ビル　1F,True
149,Tokyo Niku Shabuya,https://tabelog.com/en/tokyo/A1304/A130401/13196268/,4.08,30000-39999,575,Higashi Shinjuku Sta.,Shabu shabu (Japanese hotpot),東京都新宿区大久保1-12-3 カーサ第二新宿 1F,False
150,AZUR et MASA UEKI,https://tabelog.com/en/tokyo/A1307/A130701/13206559/,4.08,20000-29999,542,Nogizaka Sta.,French,東京都港区西麻布2-24-7 西麻布MAビル 1F,False
151,Sanlucar BAR,https://tabelog.com/en/tokyo/A1309/A130905/13112228/,4.08,4000-4999,402,Kagurazaka Sta.,Bar,東京都新宿区神楽坂6-43 K's Place102,False
152,Ichikawa,https://tabelog.com/en/tokyo/A1316/A131602/13210722/,4.08,40000-49999,261,Shirokane Takanawa Sta.,Sushi,東京都港区南麻布2-10-13 OJハウス 101,True
153,unis,https://tabelog.com/en/tokyo/A1308/A130802/13253159/,4.08,50000-59999,239,Toranomon Hills Sta.,French,東京都港区虎ノ門1-23-3 虎ノ門ヒルズガーデンハウス 1F,True
154,Azabu Muroi,https://tabelog.com/en/tokyo/A1301/A130101/13292026/,4.08,50000-59999,110,Ginza Sta.,Japanese Cuisine,東京都中央区銀座5-5-12 HULIC&New GINZA MIYUKI 5 10F,True
155,Ginza Kani Matsu,https://tabelog.com/en/tokyo/A1301/A130103/13278339/,4.08,50000-59999,72,Shimbashi Sta.,Crab,東京都中央区銀座8-10-17 銀座サザンビル 8F,True
156,Sugaya,https://tabelog.com/en/tokyo/A1314/A131401/13228776/,4.07,60000-79999,495,Akabanebashi Sta.,Sushi,東京都港区東麻布1-29-15 東麻布296ビル 1F,True
157,commedia,https://tabelog.com/en/tokyo/A1313/A131303/13276923/,4.07,30000-39999,112,Kiba Sta.,Italian,東京都江東区東陽1-11-3 桜マンション 1F,True
158,Kashiwade no Tsukasa Suikouan,https://tabelog.com/en/tokyo/A1307/A130702/13286120/,4.07,40000-49999,78,Akabanebashi Sta.,Japanese Cuisine,東京都港区東麻布2-14-8 フィル•パーク東麻布 1F,True
159,L'atelier de Plaisir,https://tabelog.com/en/tokyo/A1318/A131814/13050412/,4.06,-999,1146,Soshigaya Okura Sta.,Bread,東京都世田谷区砧8-13-8 ジベ成城　１Ｆ,False
160,La Blanche,https://tabelog.com/en/tokyo/A1303/A130301/13002111/,4.06,20000-29999,520,Omote Sando Sta.,French,東京都渋谷区渋谷2-3-1 青山ポニーハイム　２Ｆ,False
161,4000 Chinese Restaurant,https://tabelog.com/en/tokyo/A1307/A130703/13229559/,4.06,30000-39999,379,Hiro o Sta.,Sichuan Cuisine,東京都港区南青山7-10-10 パークアクシス南青山7丁目 1F,True
162,MAZ,https://tabelog.com/en/tokyo/A1308/A130803/13270953/,4.06,40000-49999,207,Nagatacho Sta.,Innovative,東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町 3F,True
163,Kanjou,https://tabelog.com/en/tokyo/A1307/A130701/13267945/,4.06,30000-39999,184,Roppongi Sta.,Japanese Cuisine,東京都港区六本木4-12-5 六本木144ビル 3F,True
164,SATO BRIAN Osaka Umeda Ten,https://tabelog.com/en/tokyo/A1319/A131905/13159782/,4.05,15000-19999,999,Asagaya Sta.,Yakiniku (BBQ Beef),東京都杉並区阿佐ヶ谷南2-17-2,False
165,Sumibi Yakiniku Nakahara,https://tabelog.com/en/tokyo/A1309/A130904/13175110/,4.05,30000-39999,712,Ichigaya Sta.,Yakiniku (BBQ Beef),東京都千代田区六番町4-3 GEMS市ヶ谷 9F,False
166,Japanese cuisine Tagetsu,https://tabelog.com/en/tokyo/A1306/A130602/13160021/,4.05,40000-49999,560,Omote Sando Sta.,Japanese Cuisine,東京都港区北青山3-13-1 北青山関根ビル B1F,True
167,Aji Hiro,https://tabelog.com/en/tokyo/A1313/A131301/13293039/,4.05,30000-39999,67,Shintomicho Sta.,Japanese Cuisine,東京都中央区入船3-8-9 ドミシールカワイ 1F,True
168,Ara Ki,https://tabelog.com/en/tokyo/A1308/A130801/13296725/,4.05,60000-79999,59,Akasaka Sta.,Sushi,東京都港区赤坂6-3-16 赤坂ストリートビルディング 2F,True
169,Hakuun,https://tabelog.com/en/tokyo/A1306/A130603/13255456/,4.04,30000-39999,179,Gaiemmae Sta.,Japanese Cuisine,東京都港区南青山4-11-2 南青山Kビル 1F,False
170,Tomato,https://tabelog.com/en/tokyo/A1319/A131906/13001113/,4.03,2000-2999,2513,Ogikubo Sta.,Curry,東京都杉並区荻窪5-20-7 吉田ビル　１Ｆ,False
171,AIGRE DOUCE,https://tabelog.com/en/tokyo/A1305/A130502/13005641/,4.03,1000-1999,2119,Mejiro Sta.,Cake,東京都新宿区下落合3-22-13,False
172,Yakitori Omino,https://tabelog.com/en/tokyo/A1312/A131203/13206654/,4.03,10000-14999,1388,Oshiage Sta.,Yakitori (Grilled chicken skewers),東京都墨田区押上1-38-4 清流ビル１Ｆ,False
173,Tempura Fukamachi,https://tabelog.com/en/tokyo/A1302/A130202/13004105/,4.03,20000-29999,930,Kyobashi Sta.,Tempura,東京都中央区京橋2-5-2 A・M京橋ビル 1F,False
174,Tomidokoro,https://tabelog.com/en/tokyo/A1314/A131401/13223846/,4.03,30000-39999,560,Onarimon Sta.,Sushi,東京都港区新橋6-13-3 1F,False
175,Sushi Matsuura,https://tabelog.com/en/tokyo/A1316/A131602/13239788/,4.03,30000-39999,238,Shirokane Takanawa Sta.,Sushi,東京都港区白金5-7-8 ウイング綱島 1F,True
176,Jigen Do,https://tabelog.com/en/tokyo/A1308/A130801/13292021/,4.03,50000-59999,222,Akasaka Mitsuke Sta.,Japanese Cuisine,東京都港区赤坂3-9-2 No.R赤坂見附 1F,True
177,Sushi Nishizaki,https://tabelog.com/en/tokyo/A1318/A131811/13270984/,4.03,20000-29999,207,Higashi Kitazawa Sta.,Sushi,東京都世田谷区北沢5-3-12 B1F,True
178,En Sui,https://tabelog.com/en/tokyo/A1317/A131701/13254619/,4.03,30000-39999,192,Naka Meguro Sta.,Japanese Cuisine,東京都目黒区中目黒1-5-12 ATRIO 1F,False
179,Tomura,https://tabelog.com/en/tokyo/A1308/A130802/13005027/,4.03,50000-59999,181,Toranomon Sta.,Japanese Cuisine,東京都港区虎ノ門1-11-14 第二ジェスペールビル　１Ｆ,False
180,Sushi Masuda,https://tabelog.com/en/tokyo/A1306/A130602/13268503/,4.03,40000-49999,162,Omote Sando Sta.,Sushi,東京都港区南青山3-14-27 IJK南青山れい 1F,True
181,Tori Shige,https://tabelog.com/en/tokyo/A1304/A130401/13001067/,4.02,8000-9999,2601,Shinjuku Sta.,Grilled tripe,東京都渋谷区代々木2-6-5,False
182,Tamawarai,https://tabelog.com/en/tokyo/A1306/A130601/13129390/,4.02,10000-14999,1703,Meiji Jingumae Sta.,Soba (Buckwheat noodles),東京都渋谷区神宮前5-23-3,False
183,Ramen FeeL,https://tabelog.com/en/tokyo/A1330/A133003/13254631/,4.02,-,1172,Hinatawada Sta.,Ramen,東京都青梅市梅郷4-695-1,False
184,Tempura Kondo,https://tabelog.com/en/tokyo/A1301/A130101/13004993/,4.02,20000-29999,1006,Ginza Sta.,Tempura,東京都中央区銀座5-5-13 坂口ビル　9Ｆ,False
185,USHIGORO S. GINZA,https://tabelog.com/en/tokyo/A1301/A130101/13222093/,4.02,20000-29999,811,Ginza Sta.,Yakiniku (BBQ Beef),東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F,False
186,Ranmaru,https://tabelog.com/en/tokyo/A1317/A131710/13217903/,4.02,30000-39999,595,Fudo Mae Sta.,Sushi,東京都目黒区下目黒3-16-2 1F,False
187,Akasaka Kikunoi,https://tabelog.com/en/tokyo/A1308/A130801/13002514/,4.02,20000-29999,508,Akasaka Sta.,Japanese Cuisine,東京都港区赤坂6-13-8,False
188,Torisho Ishii Hina,https://tabelog.com/en/tokyo/A1307/A130702/13271040/,4.02,15000-19999,489,Azabu Juban Sta.,Yakitori (Grilled chicken skewers),東京都港区南麻布1-27-7 クリフサイドビル 1F,True
189,recte,https://tabelog.com/en/tokyo/A1303/A130303/13036041/,4.02,30000-39999,466,Daikan yama Sta.,French,東京都渋谷区恵比寿西2-17-5 サンビレッジ代官山 2F,True
190,Le Mange-Tout,https://tabelog.com/en/tokyo/A1309/A130905/13000469/,4.02,30000-39999,312,Ushigome Kagurazaka Sta.,French,東京都新宿区納戸町22,False
191,Toriryori Torishou,https://tabelog.com/en/tokyo/A1309/A130903/13193026/,4.02,15000-19999,88,Akebonobashi Sta.,Chicken dishes,東京都新宿区荒木町16-16 ベルウッドビル B1F,True
192,a tes souhaits!,https://tabelog.com/en/tokyo/A1320/A132001/13005853/,4.01,-999,2431,Nishi Ogikubo Sta.,Cake,東京都武蔵野市吉祥寺東町3-8-8 カサ吉祥寺２,False
193,Ginza Sushi Kanesaka Hon Ten,https://tabelog.com/en/tokyo/A1301/A130103/13005003/,4.01,60000-79999,530,Shimbashi Sta.,Sushi,東京都中央区銀座8-10-3 三鈴ビル　Ｂ１Ｆ,False
194,Tokyo En,https://tabelog.com/en/tokyo/A1301/A130101/13002566/,4.01,8000-9999,369,Higashi Ginza Sta.,Yakiniku (BBQ Beef),東京都中央区銀座5-9-5,True
195,Kiyota,https://tabelog.com/en/tokyo/A1301/A130101/13070238/,4.01,50000-59999,290,Ginza Sta.,Sushi,東京都中央区銀座6-3-15,False
196,Ginza Kitafuku,https://tabelog.com/en/tokyo/A1301/A130101/13183900/,4.01,40000-49999,265,Ginza Sta.,Crab,東京都中央区銀座7-4-5 銀座745ビル 3F,True
197,Onarimon Haru,https://tabelog.com/en/tokyo/A1314/A131401/13233057/,4.01,40000-49999,206,Onarimon Sta.,Japanese Cuisine,東京都港区芝大門1-2-2 中川ビル 1F,True
198,Mori Fuji,https://tabelog.com/en/tokyo/A1309/A130905/13240181/,4.01,30000-39999,121,Ushigome Kagurazaka Sta.,Japanese Cuisine,東京都新宿区納戸町32-3 ザ・フィガロ市ヶ谷 1F,True
199,tens.,https://tabelog.com/en/tokyo/A1306/A130603/13301005/,4.01,20000-29999,78,Gaiemmae Sta.,Italian,東京都港区南青山2-27-28 グラン青山 B1F,False
200,Raa Menya Shima,https://tabelog.com/en/tokyo/A1304/A130401/13247487/,4.00,-,1769,Nishi Shinjuku Gochome Sta.,Ramen,東京都渋谷区本町3-41-12,True
