Ranking,Name,URL,Rating,Price Range,Review Count,Categories,Address
1,Teppanyaki Sumiyaki Saito,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15801593-Reviews-Teppanyaki_Sumiyaki_Saito-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,705,"Japanese, Steakhouse",Teppanyaki Sumiyaki Saito
2,Gyopao Gyoza Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1666071-Reviews-Gyopao_Gyoza_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,3423,"Chinese, Asian",Gyopao Gyoza Roppongi
3,Downtown B’s Indian Kitchen,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12232966-Reviews-Downtown_B_s_Indian_Kitchen-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,377,"Indian, Asian",Downtown B’s Indian Kitchen
4,IPPUDO Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1659036-Reviews-IPPUDO_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,578,"Japanese, Asian",IPPUDO Roppongi
5,Niigata Yukimuro Jukusei Yakiniku Nikuine Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d19683159-Reviews-Niigata_Yukimuro_Jukusei_Yakiniku_Nikuine_Roppongi-Roppongi_Minato_Tokyo_Tokyo.html,4.9,,67,"Japanese, Barbecue",Niigata Yukimuro Jukusei Yakiniku Nikuine Roppongi
6,Jomon Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d877385-Reviews-Jomon_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.4,,441,"Japanese, Japanese - Other",Jomon Roppongi
7,Burger Revolution Tokyo Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d21375819-Reviews-Burger_Revolution_Tokyo_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,288,"American, Fast Food",Burger Revolution Tokyo Roppongi
8,Gluten Free T's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13202104-Reviews-Gluten_Free_T_s_Kitchen-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,398,"Japanese, Cafe",Gluten Free T's Kitchen
9,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1163632-Reviews-Hard_Rock_Cafe-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,601,"American, Bar",Hard Rock Cafe
10,Atelier Morimoto Xex,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688108-Reviews-Atelier_Morimoto_Xex-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,201,"Japanese, Sushi",Atelier Morimoto Xex
11,Tsurutontan Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688541-Reviews-Tsurutontan_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,389,"Japanese, Kaiseki",Tsurutontan Roppongi
12,Mon Cher Ton Ton Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1678362-Reviews-Mon_Cher_Ton_Ton_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,200,"Japanese, Asian",Mon Cher Ton Ton Roppongi
13,The French Kitchen,https://www.tripadvisor.com/Restaurant_Review-g14129735-d816619-Reviews-The_French_Kitchen-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,240,"French, European",The French Kitchen
14,Sukiyabashi Jiro Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1177368-Reviews-Sukiyabashi_Jiro_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,335,"Japanese, Sushi",Sukiyabashi Jiro Roppongi Hills
15,Tonkatsu Butagumi Dining,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6069268-Reviews-Tonkatsu_Butagumi_Dining-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.4,,134,"Japanese, Asian",Tonkatsu Butagumi Dining
16,Warayakiya Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4664055-Reviews-Warayakiya_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.3,,201,"Japanese, Barbecue",Warayakiya Roppongi
17,Meat Man,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3753632-Reviews-Meat_Man-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,73,"Japanese, Barbecue",Meat Man
18,Sushi Saito,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7383757-Reviews-Sushi_Saito-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.4,,40,"Japanese, Seafood",Sushi Saito
19,Afuri Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10063669-Reviews-Afuri_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,121,"Japanese, Fast Food",Afuri Roppongi Hills
20,L'Atelier de Joel Robuchon,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1663251-Reviews-L_Atelier_de_Joel_Robuchon-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,437,French,L'Atelier de Joel Robuchon
21,Pintokona Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1689108-Reviews-Pintokona_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,106,"Japanese, Sushi",Pintokona Roppongi Hills
22,Roppongi Inakaya Higashi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1166305-Reviews-Roppongi_Inakaya_Higashi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,189,"Japanese, Seafood",Roppongi Inakaya Higashi
23,Abbey Road Tokyo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3835609-Reviews-Abbey_Road_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,77,"Bar, Pub",Abbey Road Tokyo
24,0% Non-Alcohol Experience,https://www.tripadvisor.com/Restaurant_Review-g14129735-d21135613-Reviews-0_Non_Alcohol_Experience-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,83,"Bars & Pubs, Bar",0% Non-Alcohol Experience
25,Shabu Shabu Sushi Hassan,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7725737-Reviews-Shabu_Shabu_Sushi_Hassan-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,69,"Japanese, Sushi",Shabu Shabu Sushi Hassan
26,Nikugen Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12588447-Reviews-Nikugen_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.7,,81,Barbecue,Nikugen Roppongi
27,Serieux,https://www.tripadvisor.com/Restaurant_Review-g14129735-d26101746-Reviews-Serieux-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,9,"French, Japanese",Serieux
28,Bricolage Bread & Co,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15359834-Reviews-Bricolage_Bread_Co-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,29,Cafe,Bricolage Bread & Co
29,Nanbantei,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3667929-Reviews-Nanbantei-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,53,"Japanese, Barbecue",Nanbantei
30,Imakatsu,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3752656-Reviews-Imakatsu-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.7,,48,Japanese,Imakatsu
31,Mercer Brunch,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4086408-Reviews-Mercer_Brunch-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,80,"Italian, American",Mercer Brunch
32,Cossott'E Sp,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9973031-Reviews-Cossott_E_Sp-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,23,"Japanese, Barbecue",Cossott'E Sp
33,Jasmin Thai Roppongi Honten,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10646633-Reviews-Jasmin_Thai_Roppongi_Honten-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,83,"Asian, Thai",Jasmin Thai Roppongi Honten
34,Miyabi Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4081655-Reviews-Miyabi_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,56,"Japanese, Barbecue",Miyabi Roppongi
35,Obica Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d2692832-Reviews-Obica_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,117,"Italian, Pizza",Obica Roppongi Hills
36,MAGURO & SHARI Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d26327224-Reviews-MAGURO_SHARI_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,12,"Japanese, Seafood",MAGURO & SHARI Roppongi
37,Brasserie Paul Bocuse Le Musée,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1666993-Reviews-Brasserie_Paul_Bocuse_Le_Musee-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,139,French,Brasserie Paul Bocuse Le Musée
38,Yelo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7295567-Reviews-Yelo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,49,Dessert,Yelo
39,Ikinari Steak Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7007775-Reviews-Ikinari_Steak_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,63,"American, Steakhouse",Ikinari Steak Roppongi
40,Pintokona Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1689108-Reviews-Pintokona_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,106,"Japanese, Sushi",Pintokona Roppongi Hills
41,Cinnabon Seattles Best Coffee Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7279921-Reviews-Cinnabon_Seattles_Best_Coffee_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_K.html,4.0,,60,Cafe,Cinnabon Seattles Best Coffee Roppongi
42,Hainan Jeefan Shokudo Azabu,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688731-Reviews-Hainan_Jeefan_Shokudo_Azabu-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,63,"Asian, Singaporean",Hainan Jeefan Shokudo Azabu
43,Roppongi Secret Base,https://www.tripadvisor.com/Restaurant_Review-g14129735-d25449157-Reviews-Roppongi_Secret_Base-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,5.0,,12,"Bar, International",Roppongi Secret Base
44,"Nansho Mantoten, Roppongi Hills",https://www.tripadvisor.com/Restaurant_Review-g14129735-d1678483-Reviews-Nansho_Mantoten_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,99,"Chinese, Shanghai","Nansho Mantoten, Roppongi Hills"
45,Moti Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1678618-Reviews-Moti_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,78,Indian,Moti Roppongi
46,Shabuzen Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d2461783-Reviews-Shabuzen_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,72,Japanese,Shabuzen Roppongi
47,Frey's Famous Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8096158-Reviews-Frey_s_Famous_Pizzeria-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,35,"Italian, Pizza",Frey's Famous Pizzeria
48,Cucina Italiana Aria,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4663891-Reviews-Cucina_Italiana_Aria-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,32,Italian,Cucina Italiana Aria
49,Paul Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d2086593-Reviews-Paul_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,67,"Coffee & Tea, French",Paul Roppongi
50,Diya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1662918-Reviews-Diya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,63,"Indian, Asian",Diya
51,R1 TOKYO Bar＆Restaurant,https://www.tripadvisor.com/Restaurant_Review-g14129735-d23738215-Reviews-R1_TOKYO_Bar_Restaurant-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,14,"Italian, French",R1 TOKYO Bar＆Restaurant
52,Kinka Sushi Bar Izakaya ROPPONGI,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15127226-Reviews-Kinka_Sushi_Bar_Izakaya_ROPPONGI-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,22,"Japanese, Bar",Kinka Sushi Bar Izakaya ROPPONGI
53,Kohien,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688723-Reviews-Kohien-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,66,Chinese,Kohien
54,Onzoushi Matsurokuya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3959302-Reviews-Onzoushi_Matsurokuya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,50,"Japanese, Asian",Onzoushi Matsurokuya
55,Harbs Roppongihills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6692448-Reviews-Harbs_Roppongihills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,74,"Dessert, Cafe",Harbs Roppongihills
56,Serieux,https://www.tripadvisor.com/Restaurant_Review-g14129735-d26101746-Reviews-Serieux-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.9,,9,"French, Japanese",Serieux
57,"Ant 'n Bee, Roppongi",https://www.tripadvisor.com/Restaurant_Review-g14129735-d4044813-Reviews-Ant_n_Bee_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.3,,38,"Brew Pub, Bar","Ant 'n Bee, Roppongi"
58,latelier du pain,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9939170-Reviews-Latelier_du_pain-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,22,"Bakeries, Deli",latelier du pain
59,"Outback Steakhouse, Roppongi",https://www.tripadvisor.com/Restaurant_Review-g14129735-d2338892-Reviews-Outback_Steakhouse_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,65,Steakhouse,"Outback Steakhouse, Roppongi"
60,Kushimura,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1661911-Reviews-Kushimura-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,37,"Japanese, Asian",Kushimura
61,Sakana Bar Grill,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9897559-Reviews-Sakana_Bar_Grill-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.6,,20,"Seafood, Spanish",Sakana Bar Grill
62,"Hoshino Coffee, Roppongi",https://www.tripadvisor.com/Restaurant_Review-g14129735-d4993217-Reviews-Hoshino_Coffee_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,44,"Coffee & Tea, Cafe","Hoshino Coffee, Roppongi"
63,Jojoen,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1685890-Reviews-Jojoen-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,36,"Japanese, Barbecue",Jojoen
64,Soryu Togyokudo Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1662385-Reviews-Soryu_Togyokudo_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,55,Chinese,Soryu Togyokudo Roppongi
65,Almond,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688999-Reviews-Almond-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,64,Cafe,Almond
66,Udon Kurosawa,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688500-Reviews-Udon_Kurosawa-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,47,Japanese,Udon Kurosawa
67,Roppongi Yakiniku Kintan,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9926802-Reviews-Roppongi_Yakiniku_Kintan-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,31,"Japanese, Steakhouse",Roppongi Yakiniku Kintan
68,Malins Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6921604-Reviews-Malins_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,44,"Quick Bites, British",Malins Roppongi
69,Tony Roma's,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1661606-Reviews-Tony_Roma_s-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,62,"American, Steakhouse",Tony Roma's
70,,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8022344-Reviews-Santekan-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,33,"Japanese, Japanese - Other",
71,Etsubo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1668083-Reviews-Etsubo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.3,,23,Japanese,Etsubo
72,Hobgoblin Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3927403-Reviews-Hobgoblin_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,61,"Bars & Pubs, Bar",Hobgoblin Roppongi
73,Bairan Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1694886-Reviews-Bairan_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,43,Chinese,Bairan Roppongi Hills
74,Pound-Ya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8494715-Reviews-Pound_Ya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,39,"Japanese, American",Pound-Ya
75,Starbucks Coffee Roppongi Hills West Walk Lounge,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6622619-Reviews-Starbucks_Coffee_Roppongi_Hills_West_Walk_Lounge-Roppongi_Minato_Tokyo_Tokyo_Pr.html,3.9,,49,"Coffee & Tea, Cafe",Starbucks Coffee Roppongi Hills West Walk Lounge
76,Downstairs Coffee,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3789503-Reviews-Downstairs_Coffee-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,29,"Coffee & Tea, Cafe",Downstairs Coffee
77,Butagumishabuan,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1668555-Reviews-Butagumishabuan-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,47,"Japanese, Japanese Fusion",Butagumishabuan
78,Trattoria Italia Roppongi 1chome,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3843711-Reviews-Trattoria_Italia_Roppongi_1chome-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,38,"Italian, Pizza",Trattoria Italia Roppongi 1chome
79,Bricolage Bread & Co,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15359834-Reviews-Bricolage_Bread_Co-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,29,Cafe,Bricolage Bread & Co
80,La Sfoglina,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4599558-Reviews-La_Sfoglina-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,24,Italian,La Sfoglina
81,Tully's Coffee Roppongi 1chome,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1690761-Reviews-Tully_s_Coffee_Roppongi_1chome-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,47,"Coffee & Tea, Cafe",Tully's Coffee Roppongi 1chome
82,Oyster Bar&Restaurant Ostrea Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1681839-Reviews-Oyster_Bar_Restaurant_Ostrea_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Ka.html,3.9,,58,Seafood,Oyster Bar&Restaurant Ostrea Roppongi
83,Starbucks Coffee Roppongi Hills West Walk,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3850909-Reviews-Starbucks_Coffee_Roppongi_Hills_West_Walk-Roppongi_Minato_Tokyo_Tokyo_Prefectur.html,3.8,,52,"Coffee & Tea, Cafe",Starbucks Coffee Roppongi Hills West Walk
84,Lilla Dalarna,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1659171-Reviews-Lilla_Dalarna-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,25,"European, Scandinavian",Lilla Dalarna
85,Antico Caffe Al Avis Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8774630-Reviews-Antico_Caffe_Al_Avis_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,27,Cafe,Antico Caffe Al Avis Roppongi
86,Otsuna Zushi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1662282-Reviews-Otsuna_Zushi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.1,,25,"Japanese, Seafood",Otsuna Zushi
87,Mohri Salvatore Cuomo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1661508-Reviews-Mohri_Salvatore_Cuomo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,94,"Italian, Pizza",Mohri Salvatore Cuomo
88,Rio Grande Grill Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6589273-Reviews-Rio_Grande_Grill_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,67,"Brazilian, Latin",Rio Grande Grill Roppongi
89,Los Cabos Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6067645-Reviews-Los_Cabos_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.4,,28,"Mexican, Bar",Los Cabos Roppongi
90,Thai Kitchen Krung Siam Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10777383-Reviews-Thai_Kitchen_Krung_Siam_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,23,Thai,Thai Kitchen Krung Siam Roppongi
91,Bar Mijas,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9963888-Reviews-Bar_Mijas-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Bar Mijas
92,Tempura Mikaku,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1667531-Reviews-Tempura_Mikaku-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Tempura Mikaku
93,Tenho Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1688699-Reviews-Tenho_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Tenho Roppongi
94,Iruca Tokyo Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d23944352-Reviews-Iruca_Tokyo_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Iruca Tokyo Roppongi
95,Wayang Bali Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9955663-Reviews-Wayang_Bali_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Wayang Bali Roppongi
96,"Tully's Coffee, Roppongi",https://www.tripadvisor.com/Restaurant_Review-g14129735-d10313072-Reviews-Tully_s_Coffee_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,"Tully's Coffee, Roppongi"
97,Shabu-Shabu Onyasai Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3801977-Reviews-Shabu_Shabu_Onyasai_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Shabu-Shabu Onyasai Roppongi
