Ranking,Name,URL,Rating,Price Range,Review Count,Categories,Address
98,"The 3rd Burger, Ark Hills South Tower",https://www.tripadvisor.com/Restaurant_Review-g14129735-d8262932-Reviews-The_3rd_Burger_Ark_Hills_South_Tower-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kan.html,,,,,"The 3rd Burger, Ark Hills South Tower"
99,Akasaka Tosaka,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13992845-Reviews-Akasaka_Tosaka-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Akasaka Tosaka
100,Gozenbo Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1662180-Reviews-Gozenbo_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Gozenbo Roppongi
101,UNIHOLIC,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13223782-Reviews-UNIHOLIC-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,UNIHOLIC
102,"Tokyo Bal Ajito, Roppongi",https://www.tripadvisor.com/Restaurant_Review-g14129735-d7297891-Reviews-Tokyo_Bal_Ajito_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,"Tokyo Bal Ajito, Roppongi"
103,Menyamusashi Kosho,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4023837-Reviews-Menyamusashi_Kosho-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Menyamusashi Kosho
104,Mensho Taketora Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3752311-Reviews-Mensho_Taketora_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Mensho Taketora Roppongi
105,Chisen,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1685826-Reviews-Chisen-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Chisen
106,Shiki Nanakusa,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6051111-Reviews-Shiki_Nanakusa-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Shiki Nanakusa
107,,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10068406-Reviews-Roppongi_Inakia-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,
108,Hills Dal-Matto,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8522935-Reviews-Hills_Dal_Matto-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Hills Dal-Matto
109,Il Figo Ingordo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4462616-Reviews-Il_Figo_Ingordo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Il Figo Ingordo
110,Yakitori Moe,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1687590-Reviews-Yakitori_Moe-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Yakitori Moe
111,Kushiyaki Ganchan,https://www.tripadvisor.com/Restaurant_Review-g14129735-d5427091-Reviews-Kushiyaki_Ganchan-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Kushiyaki Ganchan
112,Kushinobo Roppongi HIlls,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1661438-Reviews-Kushinobo_Roppongi_HIlls-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Kushinobo Roppongi HIlls
113,Yakitori No Hachibei Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3752409-Reviews-Yakitori_No_Hachibei_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Yakitori No Hachibei Roppongi
114,Nurukan Sato Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4036090-Reviews-Nurukan_Sato_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Nurukan Sato Roppongi
115,Bangkok,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9962911-Reviews-Bangkok-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Bangkok
116,Shojikiya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3829242-Reviews-Shojikiya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Shojikiya
117,Yakiniku Seizaemon Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d11895229-Reviews-Yakiniku_Seizaemon_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Yakiniku Seizaemon Roppongi
118,Kushikatsu Tanaka Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13063591-Reviews-Kushikatsu_Tanaka_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Kushikatsu Tanaka Roppongi
119,Koshitsu Bistro Shirube,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3801961-Reviews-Koshitsu_Bistro_Shirube-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Koshitsu Bistro Shirube
120,L'essor Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13481680-Reviews-L_essor_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,L'essor Roppongi
121,The Garden,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9717733-Reviews-The_Garden-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,The Garden
122,Ningyocho Densui Roppongi Hils,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7348428-Reviews-Ningyocho_Densui_Roppongi_Hils-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Ningyocho Densui Roppongi Hils
123,Agave,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1682953-Reviews-Agave-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Agave
124,Sushi Kaimasa,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3970263-Reviews-Sushi_Kaimasa-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Sushi Kaimasa
125,Members' Tavern Itumo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3779581-Reviews-Members_Tavern_Itumo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Members' Tavern Itumo
126,Cedar The Chop House & Bar,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12370151-Reviews-Cedar_The_Chop_House_Bar-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Cedar The Chop House & Bar
127,Torisho Takehashi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4232376-Reviews-Torisho_Takehashi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Torisho Takehashi
128,Bistro de Japon Uratsubaki,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7785556-Reviews-Bistro_de_Japon_Uratsubaki-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Bistro de Japon Uratsubaki
129,Kurochodo Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15116466-Reviews-Kurochodo_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Kurochodo Roppongi Hills
130,Dashi Chadzuke-En Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3831809-Reviews-Dashi_Chadzuke_En_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Dashi Chadzuke-En Roppongi Hills
131,Kyogyu-so Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1678619-Reviews-Kyogyu_so_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Kyogyu-so Roppongi
132,Mozu,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7807437-Reviews-Mozu-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Mozu
133,Amor de Gaudi Tokyo Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1680979-Reviews-Amor_de_Gaudi_Tokyo_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Amor de Gaudi Tokyo Roppongi
134,Abbot's Choice Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1678986-Reviews-Abbot_s_Choice_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Abbot's Choice Roppongi
135,Havana Cafe,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1177922-Reviews-Havana_Cafe-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Havana Cafe
136,Ryouriya Mifune,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3779077-Reviews-Ryouriya_Mifune-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Ryouriya Mifune
137,Cafe Rouge,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7491688-Reviews-Cafe_Rouge-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Cafe Rouge
138,Kamonka Bourgogne Roppngi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9972871-Reviews-Kamonka_Bourgogne_Roppngi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Kamonka Bourgogne Roppngi
139,Sakanaya Gabu,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3753412-Reviews-Sakanaya_Gabu-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Sakanaya Gabu
140,Aburaya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3817340-Reviews-Aburaya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Aburaya
141,Unagi Naruse Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d26633782-Reviews-Unagi_Naruse_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Unagi Naruse Roppongi
142,Bistro Birdman 7-5-7,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6921701-Reviews-Bistro_Birdman_7_5_7-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Bistro Birdman 7-5-7
143,Shot Bar Propaganda,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13356505-Reviews-Shot_Bar_Propaganda-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Shot Bar Propaganda
144,Golden Tiger Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10132503-Reviews-Golden_Tiger_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Golden Tiger Roppongi Hills
145,Shonzui,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3672629-Reviews-Shonzui-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Shonzui
146,Starbucks Coffee Ark Hills South Tower,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10646504-Reviews-Starbucks_Coffee_Ark_Hills_South_Tower-Roppongi_Minato_Tokyo_Tokyo_Prefecture_.html,,,,,Starbucks Coffee Ark Hills South Tower
147,Kakurega Yakiniku Niku no Toriko Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12295676-Reviews-Kakurega_Yakiniku_Niku_no_Toriko_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefectu.html,,,,,Kakurega Yakiniku Niku no Toriko Roppongi
148,Ushio,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1693957-Reviews-Ushio-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Ushio
149,Uni Seafood,https://www.tripadvisor.com/Restaurant_Review-g14129735-d25332915-Reviews-Uni_Seafood-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Uni Seafood
150,Ex,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10645656-Reviews-Ex-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,,,,,Ex
151,Phuong Nam Vietnamese Restaurant Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d14183418-Reviews-Phuong_Nam_Vietnamese_Restaurant_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefectu.html,4.0,,7,Asian,Phuong Nam Vietnamese Restaurant Roppongi
152,Salon de The ROND,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1667023-Reviews-Salon_de_The_ROND-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,22,Cafe,Salon de The ROND
153,Fukushimaya Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d14744903-Reviews-Fukushimaya_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,14,Japanese,Fukushimaya Roppongi
154,AS Classics Diner,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8457111-Reviews-AS_Classics_Diner-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,,30,American,AS Classics Diner
155,Piano Bar MyScotch,https://www.tripadvisor.com/Restaurant_Review-g14129735-d7352850-Reviews-Piano_Bar_MyScotch-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,11,"Bars & Pubs, Bar",Piano Bar MyScotch
156,Roppongi Bar7557,https://www.tripadvisor.com/Restaurant_Review-g14129735-d25318462-Reviews-Roppongi_Bar7557-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.7,,3,"Brew Pub, Bar",Roppongi Bar7557
157,Go!Go! Curry Roppongi Stadium,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3789941-Reviews-Go_Go_Curry_Roppongi_Stadium-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,21,$$ - $$$,Go!Go! Curry Roppongi Stadium
158,Teppanyakikurodaya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1677581-Reviews-Teppanyakikurodaya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,16,"Japanese, Steakhouse",Teppanyakikurodaya
159,Bistro Chick Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13990529-Reviews-Bistro_Chick_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,10,"Italian, French",Bistro Chick Roppongi
160,PST Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15872325-Reviews-PST_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,,20,"Italian, Pizza",PST Roppongi
161,Kobe Beef Steak Monster Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d17733254-Reviews-Kobe_Beef_Steak_Monster_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,6,"Italian, Steakhouse",Kobe Beef Steak Monster Roppongi
162,Brasserie Va-Tout,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1716460-Reviews-Brasserie_Va_Tout-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,33,"French, European",Brasserie Va-Tout
163,Famed Fuji Soba Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3858336-Reviews-Famed_Fuji_Soba_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,20,Japanese,Famed Fuji Soba Roppongi
164,Charcoal Grilled Beef Toraji Roppongi 5-Chome,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4664640-Reviews-Charcoal_Grilled_Beef_Toraji_Roppongi_5_Chome-Roppongi_Minato_Tokyo_Tokyo_Prefe.html,3.9,,17,Japanese,Charcoal Grilled Beef Toraji Roppongi 5-Chome
165,Soba Roppon,https://www.tripadvisor.com/Restaurant_Review-g14129735-d11733646-Reviews-Soba_Roppon-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,21,Japanese,Soba Roppon
166,Roppongi Toriya Ko,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12820393-Reviews-Roppongi_Toriya_Ko-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.3,,6,"Japanese, Japanese Fusion",Roppongi Toriya Ko
167,Crisp Salad Works Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d14552876-Reviews-Crisp_Salad_Works_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.7,,13,Healthy,Crisp Salad Works Roppongi Hills
168,Rokunana,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3839574-Reviews-Rokunana-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.7,,3,"Bar, Pub",Rokunana
169,Patisserie Mayo Flat,https://www.tripadvisor.com/Restaurant_Review-g14129735-d28352833-Reviews-Patisserie_Mayo_Flat-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,5.0,,3,"Dessert, Cafe",Patisserie Mayo Flat
170,Cafeteria Carre,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3841693-Reviews-Cafeteria_Carre-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.7,,20,"Coffee & Tea, Cafe",Cafeteria Carre
171,Wagyu Japanese Beef Cuisine Sanda,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4665548-Reviews-Wagyu_Japanese_Beef_Cuisine_Sanda-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.4,,11,Japanese,Wagyu Japanese Beef Cuisine Sanda
172,Miroku Syokudo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d27780341-Reviews-Miroku_Syokudo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,5.0,,2,"Japanese, Seafood",Miroku Syokudo
173,Konaya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1662996-Reviews-Konaya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,13,,Konaya
174,Starbucks Metro Hat Hollywood Plaza,https://www.tripadvisor.com/Restaurant_Review-g14129735-d9905186-Reviews-Starbucks_Metro_Hat_Hollywood_Plaza-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kant.html,3.8,,12,"Coffee & Tea, Cafe",Starbucks Metro Hat Hollywood Plaza
175,99 Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13535452-Reviews-99_Sports_Bar-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.7,,6,"Bar, International",99 Sports Bar
176,Torishige Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10650913-Reviews-Torishige_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,6,"Japanese, Japanese - Other",Torishige Roppongi
177,La Maison du Chocolat Japon Roppongi Hills,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13264424-Reviews-La_Maison_du_Chocolat_Japon_Roppongi_Hills-Roppongi_Minato_Tokyo_Tokyo_Prefect.html,3.8,,9,"Coffee & Tea, Cafe",La Maison du Chocolat Japon Roppongi Hills
178,Roppongibaikaru,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1668804-Reviews-Roppongibaikaru-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.9,,30,Russian,Roppongibaikaru
179,Charcoal Grill Gostoso,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8029113-Reviews-Charcoal_Grill_Gostoso-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,14,"Steakhouse, Brazilian",Charcoal Grill Gostoso
180,Steak Gralic Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3590466-Reviews-Steak_Gralic_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.4,,9,Steakhouse,Steak Gralic Roppongi
181,Wine Honoji,https://www.tripadvisor.com/Restaurant_Review-g14129735-d3349524-Reviews-Wine_Honoji-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,10,"Japanese, European",Wine Honoji
182,Wako Izumi Garden Tower Roppongi 1-Chome,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10648572-Reviews-Wako_Izumi_Garden_Tower_Roppongi_1_Chome-Roppongi_Minato_Tokyo_Tokyo_Prefectur.html,3.6,,15,"Japanese, Japanese - Other",Wako Izumi Garden Tower Roppongi 1-Chome
183,The Public Six Tokyo,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12105342-Reviews-The_Public_Six_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.8,,18,"Bar, Pub",The Public Six Tokyo
184,Nihonshu Dinning Tsuyanokoku,https://www.tripadvisor.com/Restaurant_Review-g14129735-d15603329-Reviews-Nihonshu_Dinning_Tsuyanokoku-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,5.0,,2,"Japanese, Sushi",Nihonshu Dinning Tsuyanokoku
185,Bar Queen’s-q,https://www.tripadvisor.com/Restaurant_Review-g14129735-d11658285-Reviews-Bar_Queen_s_q-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,5,"Bars & Pubs, Bar",Bar Queen’s-q
186,Laila,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6067734-Reviews-Laila-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.7,,13,$$ - $$$,Laila
187,"Halekai's, Ark Hills Sengokuyamamori Tower",https://www.tripadvisor.com/Restaurant_Review-g14129735-d6018115-Reviews-Halekai_s_Ark_Hills_Sengokuyamamori_Tower-Roppongi_Minato_Tokyo_Tokyo_Prefectur.html,3.8,,12,"Grill, Pub","Halekai's, Ark Hills Sengokuyamamori Tower"
188,Buenas Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d27521884-Reviews-Buenas_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,,2,"Bars & Pubs, Bar",Buenas Roppongi
189,La Oliva,https://www.tripadvisor.com/Restaurant_Review-g14129735-d8703273-Reviews-La_Oliva-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.8,,5,Spanish,La Oliva
190,Butabara Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d24172557-Reviews-Butabara_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,5.0,,2,Japanese,Butabara Roppongi
191,Coco Ichibanya Tokyo Metro Roppongi Ekimae,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10644920-Reviews-Coco_Ichibanya_Tokyo_Metro_Roppongi_Ekimae-Roppongi_Minato_Tokyo_Tokyo_Prefect.html,3.6,,13,Fast Food,Coco Ichibanya Tokyo Metro Roppongi Ekimae
192,Dip Palace Heritage Roppongi,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12899466-Reviews-Dip_Palace_Heritage_Roppongi-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.7,,10,"Indian, Asian",Dip Palace Heritage Roppongi
193,Kasumi-cho soba masudaya,https://www.tripadvisor.com/Restaurant_Review-g14129735-d1660942-Reviews-Kasumi_cho_soba_masudaya-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.6,,18,$$ - $$$,Kasumi-cho soba masudaya
194,Kakunoshin Neuf,https://www.tripadvisor.com/Restaurant_Review-g14129735-d6070367-Reviews-Kakunoshin_Neuf-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,,13,French,Kakunoshin Neuf
195,1967,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4474440-Reviews-1967-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.7,,15,"Bars & Pubs, Bar",1967
196,Azabu Tansumachi Tenryoan,https://www.tripadvisor.com/Restaurant_Review-g14129735-d13063676-Reviews-Azabu_Tansumachi_Tenryoan-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.2,,5,"Japanese, Steakhouse",Azabu Tansumachi Tenryoan
197,Ark Hills Cafe,https://www.tripadvisor.com/Restaurant_Review-g14129735-d4672434-Reviews-Ark_Hills_Cafe-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.4,,42,"Bar, Cafe",Ark Hills Cafe
198,Caipirinha Bar,https://www.tripadvisor.com/Restaurant_Review-g14129735-d12096690-Reviews-Caipirinha_Bar-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.3,,6,"Brazilian, Bar",Caipirinha Bar
199,Matsuoka,https://www.tripadvisor.com/Restaurant_Review-g14129735-d16676384-Reviews-Matsuoka-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.3,,4,"Japanese, Asian",Matsuoka
200,Ban Kara Zone-R,https://www.tripadvisor.com/Restaurant_Review-g14129735-d10036981-Reviews-Ban_Kara_Zone_R-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.3,,13,"Bars & Pubs, Italian",Ban Kara Zone-R
